"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"43";"http://yalobox.com/img/p/0.jpg";"Arroba Azucar";"";"Home";"10.750000";"10.75";"0";"0";
"341";"http://yalobox.com/img/p/3/6/4/364.jpg";"Ambiental Tips Brisas de Lavanda";"";"Home";"1.114035";"1.11";"4";"1";
"106";"http://yalobox.com/img/p/1/2/6/126.jpg";"Toallitas Desmaquillantes Ponds";"";"Home";"8.403509";"8.4";"2";"1";
"285";"http://yalobox.com/img/p/3/0/7/307.jpg";"Antitranspirante AXE Dark Temptation 152ml";"";"Home";"4.736842";"4.74";"1";"1";
"49";"http://yalobox.com/img/p/6/6/66.jpg";"Jugo Del Valle Fresh 2.75 Litros";"";"Home";"1.535088";"1.54";"2";"1";
"229";"http://yalobox.com/img/p/2/4/9/249.jpg";"Bombones American Rellenos Crema Chocolate-Mora";"";"Home";"4.236842";"4.24";"1";"1";
"172";"http://yalobox.com/img/p/1/9/3/193.jpg";"Quitamanchas Deja 420g";"";"Home";"6.140351";"6.14";"3";"1";
"349";"http://yalobox.com/img/p/3/7/2/372.jpg";"Lavavajillas Tips Naranja 250g";"";"Home";"0.736842";"0.74";"2";"1";
"115";"http://yalobox.com/img/p/1/3/7/137.jpg";"Pañuelo de Bolsillo Karite Familia 4 u";"";"Home";"2.175439";"2.18";"1";"1";
"293";"http://yalobox.com/img/p/3/1/5/315.jpg";"Aceite La Favorita 1lt";"";"Home";"2.192982";"2.19";"2";"1";
"57";"http://yalobox.com/img/p/7/5/75.jpg";"Yogurt Nutri Durazno 1000g";"";"Home";"2.250000";"2.25";"1";"1";
"237";"http://yalobox.com/img/p/2/5/7/257.jpg";"Almendras American Recubiertas Con Chocolate";"";"Home";"3.815789";"3.82";"1";"1";
"180";"http://yalobox.com/img/p/2/0/2/202.jpg";"BC Oil Miracle Gold Shimmer Acondicionador 150ml";"";"Home";"21.929825";"21.93";"2";"1";
"123";"http://yalobox.com/img/p/1/5/5/155.jpg";"Desodorante Spray Dove Men Care Clean Confort";"";"Home";"6.087719";"6.09";"1";"1";
"301";"http://yalobox.com/img/p/3/2/3/323.jpg";"Suavizante Perla Soft Ternura 1000ml";"";"Home";"3.122807";"3.12";"0";"1";
"66";"http://yalobox.com/img/p/8/5/85.jpg";"Jarabe de Chocolate Snob 680g";"";"Home";"3.842105";"3.84";"2";"1";
"245";"http://yalobox.com/img/p/2/6/5/265.jpg";"Vino Guayasamín Reserva Cabernet Sauvignon 750ml";"";"Home";"13.929825";"13.93";"0";"1";
"188";"http://yalobox.com/img/p/2/0/9/209.jpg";"BC Repair Rescue Crema Tratamiento 200ml";"";"Home";"30.701754";"30.7";"1";"1";
"131";"http://yalobox.com/img/p/1/4/9/149.jpg";"Jabón Íntimo Natural Nosotras Sachet 18 ml";"";"Home";"0.570175";"0.57";"6";"1";
"309";"http://yalobox.com/img/p/3/3/1/331.jpg";"Desinfectante Olimpia Lavanda 900ml";"";"Home";"1.877193";"1.88";"0";"1";
"74";"http://yalobox.com/img/p/9/3/93.jpg";"Sardinas en Salsa de Tomate Tinapas Isabel 156g";"";"Home";"0.631579";"0.63";"0";"1";
"253";"http://yalobox.com/img/p/2/7/3/273.jpg";"Café Instantaneo Alto Cayetano Frasco 40g";"";"Home";"1.745614";"1.75";"2";"1";
"196";"http://yalobox.com/img/p/2/1/7/217.jpg";"Café Buen Día 85g";"";"Home";"5.078947";"5.08";"0";"1";
"140";"http://yalobox.com/img/p/1/6/0/160.jpg";"Desodorante Spray Rexona Extra Fresh Women";"";"Home";"4.736842";"4.74";"1";"1";
"317";"http://yalobox.com/img/p/3/3/9/339.jpg";"Chocolisto Tarro 1000g";"";"Home";"7.710526";"7.71";"2";"1";
"82";"http://yalobox.com/img/p/1/0/1/101.jpg";"Jabón Íntimo Natural Nosotras 150ml";"";"Home";"9.105263";"9.11";"2";"1";
"261";"http://yalobox.com/img/p/2/8/1/281.jpg";"Té de Menta ILE Caja 25 sobres";"";"Home";"1.008772";"1.01";"1";"1";
"24";"http://yalobox.com/img/p/4/1/41.jpg";"Leche Nutri Semidescremada Carton 1L";"";"Lacteos";"1.400000";"1.4";"0";"1";
"204";"http://yalobox.com/img/p/2/2/5/225.jpg";"Té de Manzanilla Pusuquí Caja 25 sobres";"";"Home";"0.877193";"0.88";"2";"1";
"148";"http://yalobox.com/img/p/1/6/9/169.jpg";"Shampoo Sedal Negros Luminosos 200ml";"";"Home";"2.657895";"2.66";"1";"1";
"325";"http://yalobox.com/img/p/3/4/8/348.jpg";"Colcafé Todo en Uno 380g";"";"Home";"6.184211";"6.18";"1";"1";
"90";"http://yalobox.com/img/p/1/0/9/109.jpg";"Desodorante AXE Dark Temptation 150ml";"";"Home";"4.736842";"4.74";"2";"1";
"269";"http://yalobox.com/img/p/2/9/1/291.jpg";"Pilas Energizer Alkalina AA2";"";"Home";"1.973684";"1.97";"2";"1";
"32";"http://yalobox.com/img/p/5/1/51.jpg";"Yogurt Nutri Fresa 200 g con cereal";"";"Alimentación";"0.650000";"0.65";"6";"1";
"213";"http://yalobox.com/img/p/2/3/3/233.jpg";"Mayonesa Alacena Sachet 500 cm³";"";"Home";"2.815789";"2.82";"1";"1";
"156";"http://yalobox.com/img/p/1/7/7/177.jpg";"Mermelada Frutimora Snob Frasco 290g";"";"Home";"1.692982";"1.69";"0";"1";
"333";"http://yalobox.com/img/p/3/5/6/356.jpg";"Clavo de Acero 65mm Caja";"";"Ferretería";"4.228070";"4.23";"1";"1";
"98";"http://yalobox.com/img/p/1/1/8/118.jpg";"Detergente en Polvo Deja Brisas de Primavera 600g";"";"Home";"1.561404";"1.56";"3";"1";
"277";"http://yalobox.com/img/p/2/9/9/299.jpg";"Ají Casero Snob 170g";"";"Home";"1.701754";"1.7";"3";"1";
"41";"http://yalobox.com/img/p/1/3/1/131.jpg";"Quintal de Arroz";"";"Home";"55.000000";"55";"0";"1";
"221";"http://yalobox.com/img/p/2/4/1/241.jpg";"Cabello de Angel Don Vittorio 250g";"";"Home";"0.833333";"0.83";"2";"1";
"164";"http://yalobox.com/img/p/1/8/4/184.jpg";"Splenda Endulzante Caja 100 sobres";"";"Home";"7.412281";"7.41";"1";"1";
"224";"http://yalobox.com/img/p/2/4/4/244.jpg";"Atún Van Camps Aceite de Girasol Tripack";"";"Home";"2.385965";"2.39";"3";"1";
"167";"http://yalobox.com/img/p/1/8/8/188.jpg";"Atún Real Lomitos en Aceite de Girasol 142g";"";"Home";"1.228070";"1.23";"2";"1";
"344";"http://yalobox.com/img/p/3/6/7/367.jpg";"Ambiental Tips Potpourri";"";"Home";"1.114035";"1.11";"1";"1";
"109";"http://yalobox.com/img/p/1/2/9/129.jpg";"Talco Rexona Efficient 100g";"";"Home";"2.570175";"2.57";"2";"1";
"288";"http://yalobox.com/img/p/3/1/0/310.jpg";"Detergente en Polvo Surf Rosas y Lilas 1kg";"";"Home";"2.675439";"2.68";"1";"1";
"52";"http://yalobox.com/img/p/7/0/70.jpg";"Fideos Espirales/Tornillo Don Vittorio 400g";"";"Home";"1.750000";"1.75";"0";"1";
"232";"http://yalobox.com/img/p/2/5/2/252.jpg";"Chupetes Plop Surtidos";"";"Home";"2.368421";"2.37";"1";"1";
"175";"http://yalobox.com/img/p/1/9/6/196.jpg";"Saloon In Keratina Pack";"";"Home";"0.000000";"0";"2";"0";
"118";"http://yalobox.com/img/p/1/5/4/154.jpg";"Detergente Deja Multiacción Polvo Floral 1kg";"";"Hogar";"2.947368";"2.95";"1";"1";
"296";"http://yalobox.com/img/p/3/1/8/318.jpg";"Aceite Girasol 1 Lt";"";"Home";"2.894737";"2.89";"0";"1";
"61";"http://yalobox.com/img/p/7/7/77.jpg";"Chicle Orbit Sin Azúcar Eucalipto";"";"Home";"0.789474";"0.79";"11";"1";
"240";"http://yalobox.com/img/p/2/6/0/260.jpg";"Canguil Para Microondas Act II Natural 91g";"";"Home";"1.315789";"1.32";"4";"1";
"183";"http://yalobox.com/img/p/2/0/4/204.jpg";"BC Q10 Time Restore Shampoo 250ml";"";"Home";"21.929825";"21.93";"1";"1";
"126";"http://yalobox.com/img/p/1/4/6/146.jpg";"Gel Antibacterial Fres kids Sandía Pop Familia 60 ml";"";"Home";"1.877193";"1.88";"2";"1";
"304";"http://yalobox.com/img/p/3/2/6/326.jpg";"Jabón Lava Todo 6 Bebe Pack 2 Unidades";"";"Home";"1.061404";"1.06";"1";"1";
"69";"http://yalobox.com/img/p/8/8/88.jpg";"Frejol Rojo Snob 425g";"";"Home";"1.254386";"1.25";"3";"1";
"248";"http://yalobox.com/img/p/2/6/8/268.jpg";"Ron Cien Fuegos Oro 750 cl";"";"Home";"10.087719";"10.09";"3";"1";
"191";"http://yalobox.com/img/p/2/1/2/212.jpg";"Gel Kleinod 500g";"";"Home";"0.000000";"0";"2";"0";
"134";"http://yalobox.com/img/p/1/5/2/152.jpg";"Eliminador de Olores Baño Toque Familia Bamboo Dry";"";"Home";"4.070175";"4.07";"1";"1";
