ID;Imagen;Nombre;Referencia;Categoría;Precio base;Precio final;Cantidad;Estado
341;http://yalobox.com/img/p/3/6/4/364.jpg;Ambiental Tips Brisas de Lavanda;;Home;1.11;1.11;4;1
106;http://yalobox.com/img/p/1/2/6/126.jpg;Toallitas Desmaquillantes Ponds;;Home;8.4;8.4;2;1
285;http://yalobox.com/img/p/3/0/7/307.jpg;Antitranspirante AXE Dark Temptation 152ml;;Home;4.74;4.74;1;1
49;http://yalobox.com/img/p/6/6/66.jpg;Jugo Del Valle Fresh 2.75 Litros;;Home;1.54;1.54;2;1
229;http://yalobox.com/img/p/2/4/9/249.jpg;Bombones American Rellenos Crema Chocolate-Mora;;Home;4.24;4.24;1;1
172;http://yalobox.com/img/p/1/9/3/193.jpg;Quitamanchas Deja 420g;;Home;6.14;6.14;3;1
349;http://yalobox.com/img/p/3/7/2/372.jpg;Lavavajillas Tips Naranja 250g;;Home;0.74;0.74;2;1
115;http://yalobox.com/img/p/1/3/7/137.jpg;Pa�uelo de Bolsillo Karite Familia 4 u;;Home;2.18;2.18;1;1
293;http://yalobox.com/img/p/3/1/5/315.jpg;Aceite La Favorita 1lt;;Home;2.19;2.19;2;1
57;http://yalobox.com/img/p/7/5/75.jpg;Yogurt Nutri Durazno 1000g;;Home;2.25;2.25;1;1
237;http://yalobox.com/img/p/2/5/7/257.jpg;Almendras American Recubiertas Con Chocolate;;Home;3.82;3.82;1;1
180;http://yalobox.com/img/p/2/0/2/202.jpg;BC Oil Miracle Gold Shimmer Acondicionador 150ml;;Home;21.93;21.93;2;1
123;http://yalobox.com/img/p/1/5/5/155.jpg;Desodorante Spray Dove Men Care Clean Confort;;Home;6.09;6.09;1;1
301;http://yalobox.com/img/p/3/2/3/323.jpg;Suavizante Perla Soft Ternura 1000ml;;Home;3.12;3.12;0;1
66;http://yalobox.com/img/p/8/5/85.jpg;Jarabe de Chocolate Snob 680g;;Home;3.84;3.84;2;1
245;http://yalobox.com/img/p/2/6/5/265.jpg;Vino Guayasam�n Reserva Cabernet Sauvignon 750ml;;Home;13.93;13.93;0;1
188;http://yalobox.com/img/p/2/0/9/209.jpg;BC Repair Rescue Crema Tratamiento 200ml;;Home;30.7;30.7;1;1
131;http://yalobox.com/img/p/1/4/9/149.jpg;Jab�n ͍ntimo Natural Nosotras Sachet 18 ml;;Home;0.57;0.57;6;1
309;http://yalobox.com/img/p/3/3/1/331.jpg;Desinfectante Olimpia Lavanda 900ml;;Home;1.88;1.88;0;1
74;http://yalobox.com/img/p/9/3/93.jpg;Sardinas en Salsa de Tomate Tinapas Isabel 156g;;Home;0.63;0.63;0;1
253;http://yalobox.com/img/p/2/7/3/273.jpg;Café Instantaneo Alto Cayetano Frasco 40g;;Home;1.75;1.75;2;1
196;http://yalobox.com/img/p/2/1/7/217.jpg;Café Buen Día 85g;;Home;5.08;5.08;0;1
140;http://yalobox.com/img/p/1/6/0/160.jpg;Desodorante Spray Rexona Extra Fresh Women;;Home;4.74;4.74;1;1
82;http://yalobox.com/img/p/1/0/1/101.jpg;Jabón Íntimo Natural Nosotras 150ml;;Home;9.11;9.11;2;1
261;http://yalobox.com/img/p/2/8/1/281.jpg;Té de Menta ILE Caja 25 sobres;;Home;1.01;1.01;1;1
24;http://yalobox.com/img/p/4/1/41.jpg;Leche Nutri Semidescremada Carton 1L;;Lacteos;1.4;1.4;0;1
204;http://yalobox.com/img/p/2/2/5/225.jpg;Té de Manzanilla Pusuquí Caja 25 sobres;;Home;0.88;0.88;2;1
148;http://yalobox.com/img/p/1/6/9/169.jpg;Shampoo Sedal Negros Luminosos 200ml;;Home;2.66;2.66;1;1
325;http://yalobox.com/img/p/3/4/8/348.jpg;Colcafé Todo en Uno 380g;;Home;6.18;6.18;1;1
90;http://yalobox.com/img/p/1/0/9/109.jpg;Desodorante AXE Dark Temptation 150ml;;Home;4.74;4.74;2;1
269;http://yalobox.com/img/p/2/9/1/291.jpg;Pilas Energizer Alkalina AA2;;Home;1.97;1.97;2;1
32;http://yalobox.com/img/p/5/1/51.jpg;Yogurt Nutri Fresa 200 g con cereal;;Alimentación;0.65;0.65;6;1
213;http://yalobox.com/img/p/2/3/3/233.jpg;Mayonesa Alacena Sachet 500 cm³;;Home;2.82;2.82;1;1
156;http://yalobox.com/img/p/1/7/7/177.jpg;Mermelada Frutimora Snob Frasco 290g;;Home;1.69;1.69;0;1
333;http://yalobox.com/img/p/3/5/6/356.jpg;Clavo de Acero 65mm Caja;;Ferretería;4.23;4.23;1;1
98;http://yalobox.com/img/p/1/1/8/118.jpg;Detergente en Polvo Deja Brisas de Primavera 600g;;Home;1.56;1.56;3;1
